City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ngereklmadel,7.4883,134.4856,298.2,94,75,0.0,PW,1683567142
83,camana,-16.6228,-72.7111,297.32,68,32,4.19,PE,1683567142
84,quibala,-10.7337,14.98,295.02,70,76,1.17,AO,1683567143
85,ust-nera,64.5667,143.2,271.14,88,98,2.7,RU,1683566661
86,chadron,42.8294,-102.9999,292.57,35,0,2.68,US,1683567143
87,qaqortoq,60.7167,-46.0333,275.53,83,100,2.32,GL,1683566676
88,port alfred,-33.5906,26.891,292.14,89,17,0.45,ZA,1683566704
89,edinburgh of the seven seas,-37.0676,-12.3116,288.06,63,67,4.99,SH,1683566670
90,stanley,54.868,-1.6985,287.44,92,20,3.09,GB,1683566669
91,nova sintra,14.8667,-24.7167,293.4,79,0,9.04,CV,1683566704
92,lihue,21.9789,-159.3672,296.68,82,100,8.23,US,1683566855
93,kuhdasht,33.535,47.6061,292.38,25,0,2.25,IR,1683567145
94,alaghsas,17.0187,8.0168,312.09,11,0,3.09,NE,1683567146
95,whitehorse,60.7161,-135.0538,281.58,43,20,4.12,CA,1683566840
96,panaba,21.2833,-88.2667,305.79,49,15,6.56,MX,1683567147
97,port lincoln,-34.7333,135.8667,287.27,70,93,4.1,AU,1683566788
98,san agustin de valle fertil,-30.6335,-67.4682,294.87,35,1,4.0,AR,1683567147
99,lycksele,64.5954,18.6735,289.08,33,40,2.06,SE,1683567147
100,tual,-5.6667,132.75,300.52,85,99,6.46,ID,1683566863
101,cuajinicuilapa,16.4667,-98.4167,310.02,32,15,4.56,MX,1683567148
102,mantyharju,61.4167,26.8833,286.21,52,84,2.12,FI,1683566860
103,markaz-e woluswali-ye achin,34.1258,70.7078,292.44,32,1,1.33,AF,1683567149
104,gadzhiyevo,69.2551,33.3362,274.33,85,98,5.03,RU,1683566742
105,raja,8.4596,25.678,299.02,63,50,3.29,SS,1683567149
106,banda aceh,5.5577,95.3222,298.46,90,99,7.36,ID,1683566968
107,polyarnyy,69.1989,33.4478,274.8,85,97,5.03,RU,1683566739
108,fisterra,42.9049,-9.2629,291.49,95,91,4.64,ES,1683566880
109,inari,68.906,27.0288,281.26,99,100,1.9,FI,1683567150
110,playa del ingles,27.7567,-15.5787,298.37,52,0,2.24,ES,1683567150
111,murzuq,25.9155,13.9184,303.57,11,31,4.17,LY,1683567151
112,necochea,-38.5473,-58.7368,288.45,77,81,8.16,AR,1683567151
113,namibe,-15.1961,12.1522,296.55,79,69,4.92,AO,1683567151
114,karratha,-20.7377,116.8463,297.52,66,47,4.19,AU,1683566861
115,coahuayana de hidalgo,18.7,-103.6583,306.58,43,1,2.84,MX,1683566930
116,bandarbeyla,9.4942,50.8122,300.98,77,100,3.46,SO,1683567152
117,broken hill,-31.95,141.4333,281.33,79,16,4.24,AU,1683567083
118,ko samui,9.5357,99.9357,302.71,75,100,2.43,TH,1683567153
119,tralee,52.2704,-9.7026,289.29,82,75,5.14,IE,1683566799
120,gemena,3.25,19.7667,299.72,69,97,0.85,CD,1683566782
121,longyearbyen,78.2186,15.6401,272.06,74,75,1.03,SJ,1683566683
122,udachny,66.4167,112.4,270.07,49,100,8.91,RU,1683566650
123,chinchilla,-26.75,150.6333,277.9,58,0,4.45,AU,1683567154
124,fray luis a. beltran,-32.7912,-60.7282,294.27,60,0,5.14,AR,1683567155
125,toamasina,-18.1667,49.3833,297.15,94,75,2.06,MG,1683567155
126,ardakan,32.31,54.0175,303.23,10,50,5.92,IR,1683567155
127,klyuchi,52.2667,79.1667,293.45,21,26,3.78,RU,1683566655
128,bethel,41.3712,-73.414,296.42,40,0,4.63,US,1683566649
129,terrace,54.5163,-128.6035,282.1,66,20,0.0,CA,1683567156
